Title,Author,Released,Purchased,Medium,Type,Category,Methodology,Theme1,Theme2,Theme3,Theme4,Theme5
The Economic Weapon,Nicholas Mulder,2022,2022-05-17,Kindle,Knowledge,Politics,,strategy,power-dynamics,civilization,,
The Economic Weapon,Nicholas Mulder,2022,2022-05-17,Audible,Knowledge,Politics,,strategy,power-dynamics,civilization,,
Die Nibelungen,Roman Wolf,2018,2022-05-16,Audible,Story,High Fantasy,,identity,civilization,power-dynamics,,
Kopf frei!,Volker Busch,2021,2022-05-16,Audible,Knowledge,Neuroscience,,consciousness,human-behavior,health,,
Strategic Vision,Zbigniew Brzezinski,2012,2022-05-14,Kindle,Knowledge,Politics,,strategy,civilization,power-dynamics,,
The Art of War A New Edition,Antoine Henri Jomini,1838,2022-05-14,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Mindset,Carol S. Dweck,2006,2022-05-12,Kindle,Knowledge,Psychology,,identity,human-behavior,creativity,,
Nationale Interessen,Klaus von Dohnanyi,2019,2022-05-12,Audible,Knowledge,Politics,,strategy,power-dynamics,civilization,,
How the World Really Works,Vaclav Smil,2022,2022-05-07,Audible,Knowledge,Science,,civilization,systems-thinking,evolution,,
Risk,General Stanley McChrystal & Anna Butrico,2020,2022-05-07,Audible,Knowledge,Leadership,,strategy,leadership,chaos,,
How the World Really Works,Vaclav Smil,2022,2022-05-02,Kindle,Knowledge,Science,,civilization,systems-thinking,evolution,,
Not One Inch,M. E. Sarotte,2021,2022-05-02,Kindle,Knowledge,Politics,,strategy,civilization,power-dynamics,,
The Strategy of Conflict,Thomas C. Schelling,1960,2022-04-28,Audible,Knowledge,Strategy,,strategy,power-dynamics,influence,,
Managementorientiertes IT-Controlling und IT-Governance,Stefan Helmke & Matthias Uebel,2013,2022-04-26,Kindle,Reference,Technical,,digital,delivery,,,
Makers of Modern Strategy,Peter Paret & Gordon A. Craig & Felix Gilbert,1986,2022-04-26,Kindle,Knowledge,Strategy,,strategy,power-dynamics,civilization,,
Organizational Culture and Leadership Fifth Edition,Edgar H. Schein & Peter Schein,2017,2022-04-26,Audible,Knowledge,Organization,,leadership,power-dynamics,civilization,,
The Science of Information,Benjamin Schumacher,2015,2022-04-26,Audible,Knowledge,Science,,systems-thinking,complexity,emergence,,
Numbers Don't Lie,Vaclav Smil,2020,2022-04-19,Kindle,Knowledge,Science,,systems-thinking,civilization,future-scenarios,,
Numbers Don't Lie,Vaclav Smil,2020,2022-04-19,Audible,Knowledge,Science,,systems-thinking,civilization,future-scenarios,,
Blue Ocean Strategy Expanded Edition,W. Chan Kim & Renee Mauborgne,2015,2022-04-14,Audible,Knowledge,Strategy,Wardley,strategy,business-value,customer-centricity,,
Blue Ocean Strategy Expanded Edition,W. Chan Kim & Renée A. Mauborgne & Renee Mauborgne,2015,2022-04-01,Kindle,Knowledge,Strategy,Wardley,strategy,business-value,customer-centricity,,
Dynamic Reteaming,Heidi Helfand,2020,2022-04-01,Kindle,Knowledge,Organization,,agile,systems-thinking,business-agility,,
Introduction to Psychology,Catherine A. Sanderson,2017,2022-04-01,Audible,Knowledge,Psychology,,human-behavior,identity,consciousness,,
Die Prinzipien der Kriegspropaganda,Anne Morelli,2001,2022-03-21,Kindle,Knowledge,Politics,,influence,power-dynamics,civilization,,
The Fearless Organization,Amy C. Edmondson,2018,2022-03-20,Kindle,Knowledge,Organization,,leadership,power-dynamics,business-agility,,
The Fearless Organization,Amy C. Edmondson,2018,2022-03-20,Audible,Knowledge,Organization,,leadership,power-dynamics,business-agility,,
Not One Inch,M.E. Sarotte,2021,2022-03-19,Audible,Knowledge,Politics,,strategy,civilization,power-dynamics,,
How not to suck at consulting,Axel Janiec & Tristan Poetzsch,2022,2022-02-27,Kindle,Knowledge,Strategy,,strategy,business-value,influence,,
Complex Adaptive Systems,John H. Miller & Scott Page,2007,2022-02-27,Kindle,Knowledge,Complexity,,complexity,emergence,systems-thinking,,
Understanding Complexity,Scott E. Page,2009,2022-02-24,Audible,Knowledge,Complexity,,complexity,emergence,systems-thinking,,
Die 36 Strategeme der Krise,Christian Rieck,2022,2022-02-22,Kindle,Knowledge,Strategy,,strategy,power-dynamics,influence,,
The Strategy Journal,Safarova Kristina,2021,2022-02-16,Kindle,Reference,Business,,strategy,business-value,,,
Digital & Information Technology Strategy Journal,Safarova Kristina,2021,2022-02-16,Kindle,Reference,Business,,strategy,digital,,,
Die Übergangsmanagerin,Karen Elste,2020,2022-02-14,Audible,Knowledge,Organization,,leadership,power-dynamics,business-agility,,
Der Übergangsmanager,Karen Elste,2020,2022-02-14,Audible,Knowledge,Organization,,leadership,power-dynamics,business-agility,,
Complexity,M. Mitchell Waldrop,1992,2022-02-11,Kindle,Knowledge,Complexity,,complexity,emergence,systems-thinking,,
Complexity,M. Mitchell Waldrop,1992,2022-02-11,Audible,Knowledge,Complexity,,complexity,emergence,systems-thinking,,
Lean Six Sigma QuickStart Guide,Benjamin Sweeney,2022,2022-02-04,Kindle,Knowledge,Agile & Lean,Six-Sigma,lean,delivery,flow,,
The Power of Regret,Daniel H. Pink,2022,2022-02-03,Audible,Knowledge,Psychology,,human-behavior,identity,ethics,,
arc42 by Example,Dr. Gernot Starke & Michael Simons & Stefan Zörner & Ralf D. Müller,2022,2022-02-01,Kindle,Reference,Technical,,delivery,digital,,,
The Sandman,Neil Gaiman & Dirk Maggs,2020,2022-01-29,Audible,Story,Comedy,,creativity,identity,human-behavior,,
Im Wald vor lauter Bäumen,Dirk Brockmann,2021,2022-01-13,Kindle,Knowledge,Science,,complexity,systems-thinking,emergence,,
IT-Controlling für Einsteiger,Andreas Gadatsch,2019,2022-01-12,Kindle,Reference,Technical,,digital,delivery,,,
The Daily Laws,Robert Greene,2021,2022-01-12,Kindle,Reference,Business,,strategy,power-dynamics,leadership,,
Change,John P. Kotter & Vanessa Akhtar & Gaurav Gupta,2021,2022-01-12,Audible,Knowledge,Organization,,leadership,business-agility,systems-thinking,,
Flow,Mihaly Csikszentmihalyi,1990,2022-01-10,Kindle,Knowledge,Psychology,,flow,human-behavior,creativity,,
Knowledge Management,Irma Becerra-Fernandez & Rajiv Sabherwal,2014,2022-01-04,Kindle,Knowledge,Organization,,systems-thinking,knowledge-management,digital,,
The McKinsey Edge,Shu Hattori,2014,2022-01-04,Kindle,Knowledge,Strategy,,strategy,business-value,leadership,,
The Age of AI,Henry A Kissinger & Eric Schmidt & Daniel Huttenlocher,2021,2022-01-02,Audible,Knowledge,AI,,ai-impact,future-scenarios,civilization,,
The McKinsey Edge,Shu Hattori,2014,2022-01-02,Audible,Knowledge,Strategy,,strategy,business-value,leadership,,
Principles for Dealing with the Changing World Order,Ray Dalio,2021,2022-01-02,Audible,Knowledge,History,,strategy,civilization,power-dynamics,,
The Strategy Visioning Workshop Journal,Kris Safarova,2021,2021-12-14,Kindle,Reference,Business,,strategy,business-value,,,
UML Distilled,Martin Fowler,2003,2021-12-13,Kindle,Reference,Technical,,delivery,digital,,,
Succeeding as a Management Consultant,Safarova Kristina,2021,2021-12-12,Kindle,Knowledge,Strategy,,strategy,business-value,influence,,
Strategy Part 2,Kris Safarova,2021,2021-12-12,Kindle,Knowledge,Strategy,,strategy,business-value,,,
Strategy Part 1,Kris Safarova,2021,2021-12-12,Kindle,Knowledge,Strategy,,strategy,business-value,,,
Succeeding as a Management Consultant,Safarova Kristina,2021,2021-12-12,Audible,Knowledge,Strategy,,strategy,business-value,influence,,
Think Again,Adam Grant,2021,2021-12-11,Audible,Knowledge,Psychology,,human-behavior,identity,creativity,,
UML 2.0 Pocket Reference,Dan Pilone,2006,2021-12-09,Kindle,Reference,Technical,,delivery,digital,,,
Change,John P. Kotter & Vanessa Akhtar & Gaurav Gupta,2021,2021-12-05,Kindle,Knowledge,Organization,,leadership,business-agility,systems-thinking,,
Know-How,Harold D. Stolovitch,2008,2021-12-03,Kindle,Knowledge,Organization,,systems-thinking,digital,delivery,,
Systems Engineering mit SysML/UML,Tim Weilkiens,2014,2021-11-28,Kindle,Knowledge,Leadership,,leadership,strategy,influence,,
The Code Breaker,Walter Isaacson,2021,2021-11-28,Audible,Knowledge,Complexity,,complexity,chaos,systems-thinking,,
Managing in Uncertainty,Chris Mowles,2015,2021-11-22,Kindle,Knowledge,Systems Thinking,Systems-Modeling,systems-thinking,complexity,flow,,
The Fifth Discipline Fieldbook,Art Kleiner & Bryan Smith & Charlotte Roberts & Peter M. Senge & Richard Ross,1994,2021-11-21,Kindle,Knowledge,Organization,,systems-thinking,knowledge-management,identity,,
Das Management des Know-how,Karl-Erik Syeiby & Tom Lloyd,1996,2021-11-21,Kindle,Knowledge,Anthropology,,civilization,emergence,systems-thinking,,
The Dawn of Everything,David Graeber,2021,2021-11-09,Kindle,Knowledge,Strategy,,strategy,business-value,systems-thinking,,
The Infinite Staircase,Geoffrey Moore,2021,2021-11-04,Audible,Knowledge,Strategy,,strategy,leadership,influence,,
The Trusted Advisor,David H. Maister & Charles H. Green & Robert M. Galford,2000,2021-10-29,Kindle,Knowledge,Organization,,leadership,business-agility,power-dynamics,,
No Rules Rules,Reed Hastings & Erin Meyer,2020,2021-10-29,Audible,Knowledge,Strategy,,strategy,leadership,influence,,
The Trusted Advisor,David H. Maister & Robert M. Galford & Charles H. Green,2000,2021-10-29,Audible,Reference,Lifestyle,,civilization,creativity,,,
The Story of Wine,Hugh Johnson,2020,2021-10-28,Kindle,Knowledge,Science,,evolution,civilization,systems-thinking,,
Cosmosapiens,John Hands,2015,2021-10-28,Kindle,Knowledge,Science,,evolution,civilization,systems-thinking,,
Origin Story,David Christian,2018,2021-10-28,Kindle,Knowledge,Strategy,,strategy,leadership,business-value,,
Strategy Safari,Henry Mintzberg & Bruce Ahlstrand & Joseph B. Lampel,2005,2021-10-27,Kindle,Knowledge,Leadership,,leadership,strategy,business-value,,
The Definitive Drucker,Elizabeth Haas Edersheim,2007,2021-10-26,Kindle,Reference,Business,,strategy,business-value,,,
Michael Porter's Value Chain,50minutes,2015,2021-10-26,Kindle,Reference,Business,,systems-thinking,civilization,,,
Timelines of Everything,DK,2018,2021-10-26,Kindle,Knowledge,Organization,,leadership,business-agility,agile,,
Business History,Franco Amatori & Andrea Colli,2011,2021-10-26,Kindle,Knowledge,History,,civilization,business-value,strategy,,
The Definitive Drucker,Elizabeth Haas Edersheim,2007,2021-10-26,Audible,Knowledge,Leadership,,leadership,strategy,business-value,,
The Dawn of Everything,David Graeber & David Wengrow,2021,2021-10-26,Audible,Knowledge,Anthropology,,civilization,human-behavior,ethics,complexity,
The Buddha and the Badass,Vishen Lakhiani,2020,2021-10-25,Kindle,Knowledge,Leadership,,identity,leadership,consciousness,human-behavior,
Klick,Gerd Gigerenzer,2021,2021-10-01,Audible,Knowledge,Psychology,,human-behavior,strategy,systems-thinking,,
Blue Ocean Strategy Concept,50MINUTES.COM,2015,2021-09-29,Kindle,Knowledge,Strategy,,strategy,business-value,customer-centricity,,
The New One Minute Manager,Ken Blanchard & Spencer Johnson,2015,2021-09-29,Audible,Knowledge,Leadership,,leadership,influence,human-behavior,,
To Sell Is Human,Daniel H. Pink,2012,2021-09-27,Kindle,Knowledge,Communication,,influence,human-behavior,customer-centricity,,
Dune Messiah,Frank Herbert,1969,2021-09-23,Audible,Story,Space Opera,,civilization,consciousness,future-scenarios,,
ADAPT,Luís Gonçalves,2021,2021-09-22,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,business-agility,delivery,lean,
Dune,Frank Herbert,1965,2021-09-14,Audible,Story,Space Opera,,civilization,consciousness,future-scenarios,,
The Anthropocene Reviewed,John Green,2021,2021-09-10,Audible,Knowledge,Philosophy,,identity,ethics,civilization,human-behavior,
Die Wut-Life-Balance,Anna B. Caesar,2021,2021-09-10,Audible,Knowledge,Psychology,,identity,human-behavior,ethics,,
Risiko,Gerd Gigerenzer,2013,2021-09-10,Audible,Knowledge,Psychology,,human-behavior,strategy,complexity,,
The Children of the Sky,Vernor Vinge,2011,2021-09-10,Audible,Story,Hard Science,,civilization,ai-impact,future-scenarios,,
Kohärenz,Ralph Edenhofer,2020,2021-09-10,Audible,Knowledge,Health,,health,human-behavior,identity,,
The Making of a Manager,Julie Zhuo,2019,2021-09-09,Audible,Knowledge,Leadership,,leadership,identity,human-behavior,,
Cascades,Greg Satell,2020,2021-09-04,Audible,Knowledge,Organization,,business-agility,complexity,strategy,systems-thinking,
Radical Candor,Kim Scott,2017,2021-08-31,Kindle,Knowledge,Leadership,,leadership,influence,human-behavior,,
Radical Candor,Kim Scott,2017,2021-08-31,Audible,Knowledge,Leadership,,leadership,influence,human-behavior,,
The First 90 Days Updated and Expanded,Michael Watkins,2013,2021-08-17,Audible,Knowledge,Leadership,,leadership,strategy,identity,,
Now Discover Your Strengths,Gallup,2001,2021-08-10,Audible,Knowledge,Psychology,,identity,human-behavior,leadership,,
ITIL Foundation,AXELOS Limited,2019,2021-08-03,Kindle,Reference,Technical,,delivery,digital,,,
Process Dynamics Modeling and Control,Babatunde A. Ogunnaike & W. Harmon Ray,1994,2021-08-03,Kindle,Reference,Technical,,systems-thinking,complexity,,,
The Daily Stoic,Ryan Holiday & Stephen Hanselman,2016,2021-07-31,Kindle,Knowledge,Philosophy,,identity,ethics,consciousness,,
Coaching for Performance 5th Edition,Sir John Whitmore,2017,2021-07-28,Kindle,Knowledge,Leadership,,leadership,identity,human-behavior,,
The Flow System,John Turner & Nigel Thurlow & Brian Rivera,2021,2021-07-28,Kindle,Knowledge,Agile & Lean,,flow,systems-thinking,delivery,lean,agile
The Wise Company,Ikujiro Nonaka & Hirotaka Takeuchi,2019,2021-07-27,Kindle,Knowledge,Organization,,knowledge,strategy,leadership,systems-thinking,
The Knowledge-Creating Company,Ikujiro Nonaka,1995,2021-07-26,Kindle,Knowledge,Organization,,systems-thinking,strategy,knowledge,business-value,
Die Darm-Hirn-Connection,Gregor Hasler,2019,2021-07-19,Audible,Knowledge,Neuroscience,,health,human-behavior,systems-thinking,,
No Rules Rules,Reed Hastings & Erin Meyer,2020,2021-07-16,Kindle,Knowledge,Organization,,leadership,culture,human-behavior,business-agility,
The Alignment Problem,Brian Christian,2020,2021-07-16,Kindle,Knowledge,AI,,ai-impact,ethics,complexity,future-scenarios,
Portfolio Programme and Project Offices,AXELOS Limited,2013,2021-07-14,Kindle,Reference,Business,,delivery,strategy,organization,,
Cascades,Greg Satell,2020,2021-07-11,Kindle,Knowledge,Organization,,business-agility,complexity,strategy,systems-thinking,
Management of Portfolios,AXELOS,2011,2021-07-11,Kindle,Reference,Business,,delivery,strategy,business-value,,
Sooner Safer Happier,Jonathan Smart,2020,2021-07-07,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-agility,lean,
Sooner Safer Happier,Jonathan Smart & Zsolt Berend & Myles Ogilvie & Simon Rohrer,2020,2021-07-07,Audible,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-agility,lean,
Indistractable,Nir Eyal,2019,2021-07-04,Kindle,Knowledge,Psychology,,identity,human-behavior,flow,,
Indistractable,Nir Eyal & Julie Li,2019,2021-07-04,Audible,Knowledge,Psychology,,identity,human-behavior,flow,,
Who Moved My Cheese,Spencer Johnson,1998,2021-06-29,Kindle,Story,Business Fiction,,identity,human-behavior,business-agility,,
Who Moved My Cheese?,Spencer Johnson & Kenneth Blanchard,1998,2021-06-29,Audible,Story,Business Fiction,,identity,human-behavior,business-agility,,
Lights Out,Thomas Gryta & Ted Mann,2020,2021-06-28,Kindle,Knowledge,History,,leadership,strategy,power-dynamics,,
Under a White Sky,Elizabeth Kolbert,2021,2021-06-28,Audible,Knowledge,Science,,evolution,civilization,future-scenarios,,
Heute schon einen Prozess optimiert?,Gunter Dueck,2014,2021-06-22,Kindle,Knowledge,Organization,,flow,systems-thinking,lean,business-value,
Knowledge Assets,Max H. Boisot,1998,2021-06-18,Kindle,Knowledge,Organization,,knowledge,strategy,systems-thinking,business-value,
The Knowledge-Creating Company,Hirotaka Takeuchi & Ikujiro Nonaka,1995,2021-06-18,Audible,Knowledge,Organization,,systems-thinking,strategy,knowledge,business-value,
Positive Psychologie im Coaching,Judith Mangelsdorf,2016,2021-06-11,Kindle,Knowledge,Psychology,,identity,human-behavior,leadership,,
Software Product Management,Hans-Bernd Kittlaus & Samuel A. Fricker,2017,2021-05-26,Kindle,Knowledge,Product,,product-thinking,delivery,strategy,,
Asha - Sohn von Malta,David Ball,2012,2021-05-23,Kindle,Story,Historical Fiction,,civilization,power-dynamics,,,
Noise,Daniel Kahneman & Olivier Sibony & Cass R. Sunstein,2021,2021-05-17,Audible,Knowledge,Psychology,,human-behavior,strategy,systems-thinking,,
The Brain,David Eagleman,2015,2021-05-17,Audible,Knowledge,Neuroscience,,consciousness,human-behavior,health,,
How to Be Everything,Emilie Wapnick,2017,2021-05-16,Kindle,Knowledge,Psychology,,identity,creativity,human-behavior,,
How to Be Everything,Emilie Wapnick,2017,2021-05-16,Audible,Knowledge,Psychology,,identity,creativity,human-behavior,,
Eine kurze Geschichte agiler Führung,Freddy Listander,2021,2021-05-13,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,leadership,business-agility,,
Managing Technical Debt,Philippe Kruchten & Ipek Ozkaya,2017,2021-05-11,Kindle,Knowledge,Computer Science,,delivery,digital,strategy,,
Agile Procurement Volume I,Bernardo Nicoletti,2021,2021-05-09,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-value,,
The Art of Technology Project Portfolio Management,Henrico Dolfing,2021,2021-05-09,Kindle,Knowledge,Organization,,strategy,delivery,business-value,systems-thinking,
Agile Contracts,Andreas Opelt & Boris Gloger & Wolfgang Pfarl & Ralf Mittermayr,2014,2021-05-09,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-value,,
Agile Contract A Complete Guide,Gerardus Blokdyk,2021,2021-05-09,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,business-value,,
The Checklist Manifesto,Atul Gawande,2009,2021-05-06,Kindle,Knowledge,Organization,,delivery,systems-thinking,human-behavior,strategy,
The Checklist Manifesto,Atul Gawande,2009,2021-05-06,Audible,Knowledge,Organization,,delivery,systems-thinking,human-behavior,strategy,
Negotiate This!,Herb Cohen,2003,2021-05-03,Audible,Knowledge,Communication,,influence,strategy,human-behavior,,
All Systems Red,Martha Wells,2017,2021-05-03,Audible,Story,Space Opera,,ai-impact,identity,consciousness,,
Getting to Yes,Roger Fisher & William Ury,1981,2021-05-03,Audible,Knowledge,Communication,,influence,strategy,human-behavior,,
Singularity,Joshua Tree,2019,2021-05-03,Audible,Story,Hard Science,,future-scenarios,ai-impact,consciousness,,
Collaboration Explained,Jean Tabaka,2006,2021-04-28,Kindle,Knowledge,Organization,,delivery,agile,business-agility,,
High-Impact Tools for Teams,Stefano Mastrogiacomo & Alexander Osterwalder,2021,2021-04-22,Kindle,Knowledge,Organization,,delivery,business-value,systems-thinking,,
The Undoing Project,Michael Lewis,2016,2021-04-22,Audible,Knowledge,Psychology,,human-behavior,strategy,systems-thinking,,
The World of Tiers Volume One,Philip José Farmer,1965,2021-03-27,Kindle,Story,Classic SF,,civilization,power-dynamics,emergence,,
The Neurotic Organization,Manfred F. R. Kets de Vries & Danny Miller,1984,2021-03-12,Kindle,Knowledge,Organization,,power-dynamics,human-behavior,leadership,complexity,
How to Avoid a Climate Disaster,Bill Gates,2021,2021-02-25,Audible,Knowledge,Science,,evolution,civilization,future-scenarios,,
Cynefin,Dave Snowden & Zhen Goh & Riva Greenberg & Boudewijn Bertsch,2020,2021-02-09,Kindle,Knowledge,Complexity,Systems-Modeling,complexity,systems-thinking,emergence,chaos,
Retrospectives Antipatterns,Corry Aino Vonge,2021,2021-02-09,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,human-behavior,,
Escaping the Build Trap,Melissa Perri,2018,2020-12-21,Kindle,Knowledge,Product,,product-thinking,customer-centricity,business-value,,
Escaping the Build Trap,Melissa Perri,2018,2020-12-21,Audible,Knowledge,Product,,product-thinking,customer-centricity,business-value,,
Leading Exponential Change,Erich R Bühler,2020,2020-11-20,Audible,Knowledge,Agile & Lean,Agile-Generic,agile,leadership,business-agility,delivery,
The Old Axolotl,Jacek Dukaj,2015,2020-11-08,Kindle,Story,Near Future,,ai-impact,consciousness,identity,,
The Laws of Human Nature,Robert Greene,2018,2020-11-06,Audible,Knowledge,Psychology,,power-dynamics,human-behavior,influence,,
Sapiens: Der Aufstieg,Yuval Noah Harari,2011,2020-10-31,Kindle,Knowledge,Anthropology,,civilization,human-behavior,evolution,,
QualityLand 2.0 - Kikis Geheimnis,Marc-Uwe Kling,2019,2020-10-29,Audible,Story,Near Future,,ai-impact,digital,future-scenarios,,
Playing to Win,A.G. Lafley & A. G. Lafley & Roger L. Martin & Roger Martin,2013,2020-10-23,Kindle,Knowledge,Strategy,,strategy,business-value,customer-centricity,,
Give and Take,Adam Grant,2013,2020-10-21,Kindle,Knowledge,Psychology,,human-behavior,leadership,identity,,
The Culture Code,Daniel Coyle,2018,2020-10-21,Kindle,Knowledge,Leadership,,leadership,human-behavior,complexity,systems-thinking,
Why Digital Transformations Fail,Tony Saldanha,2019,2020-10-20,Kindle,Knowledge,Organization,,digital,strategy,business-agility,,
Agile Teams lösungsfokussiert coachen,Veronika Kotrba & Ralph Miarka,2017,2020-10-20,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,leadership,human-behavior,delivery,
Why Digital Transformations Fail,Tony Saldanha,2019,2020-10-20,Audible,Knowledge,Organization,,digital,strategy,business-agility,,
The Art of Strategy,Avinash K. Dixit & Barry J. J. Nalebuff,2008,2020-10-17,Kindle,Knowledge,Strategy,,strategy,business-value,customer-centricity,,
The Art of Strategy,Barry J. Nalebuff & Avinash K. Dixit,2008,2020-10-17,Audible,Knowledge,Strategy,,strategy,business-value,customer-centricity,,
Der Morgen einer neuen Zeit,Ken Follett,2014,2020-10-07,Audible,Story,Historical Fiction,,civilization,power-dynamics,,,
Pursuing Enterprise Outcomes,Alex Yakyma,2020,2020-09-25,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,lean,
The Dictator's Handbook,Bruce Bueno de Mesquita & Alastair Smith,2011,2020-08-27,Kindle,Knowledge,Politics,,power-dynamics,strategy,civilization,,
The Secrets of Consulting,Gerald Weinberg,1985,2020-08-27,Kindle,Knowledge,Leadership,,influence,strategy,human-behavior,,
An Introduction to General Systems Thinking,Gerald Weinberg,1975,2020-08-27,Kindle,Knowledge,Systems Thinking,Systems-Modeling,systems-thinking,complexity,emergence,,
I Am a Strange Loop,Douglas R. Hofstadter,2007,2020-08-27,Audible,Knowledge,Philosophy,,consciousness,identity,systems-thinking,,
The Third Chimpanzee,Jared Diamond,1991,2020-08-27,Audible,Knowledge,Anthropology,,evolution,civilization,human-behavior,,
Beyond Performance 2.0,Scott Keller & Bill Schaninger,2019,2020-08-22,Kindle,Knowledge,Organization,,business-agility,strategy,systems-thinking,delivery,
SAFe 5.0 Distilled,Richard Knaster & Leffingwell Dean,2020,2020-08-21,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,lean,
On Grand Strategy,John Lewis Gaddis,2018,2020-08-20,Kindle,Knowledge,Strategy,,strategy,power-dynamics,civilization,,
On Grand Strategy,John Lewis Gaddis,2018,2020-08-20,Audible,Knowledge,Strategy,,strategy,power-dynamics,civilization,,
Project Retrospectives,Norman L. Kerth,2001,2020-08-19,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,human-behavior,,
Agile Retrospectives,Esther Derby & Diana Larsen & Ken Schwaber,2006,2020-08-17,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,human-behavior,leadership,
Die Bullet-Journal-Methode,Ryder Carroll,2018,2020-08-16,Kindle,Knowledge,Reference,,identity,creativity,flow,,
The Scrum Fieldbook,J.J. Sutherland,2019,2020-08-15,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,lean,,
The Scrum Fieldbook,J. J. Sutherland,2019,2020-08-15,Audible,Knowledge,Agile & Lean,Scrum,agile,delivery,lean,,
Leading Teams,J. Richard Hackman,2002,2020-08-13,Kindle,Knowledge,Organization,,leadership,human-behavior,systems-thinking,,
The Wisdom of Teams,Douglas K. Smith & Jon Katzenbach,1993,2020-08-13,Kindle,Knowledge,Organization,,leadership,human-behavior,emergence,,
Leading Self-Directed Work Teams,Kimball Fisher,1993,2020-08-13,Kindle,Knowledge,Organization,,leadership,human-behavior,business-agility,,
The Wisdom of Teams,Jon R. Katzenbach & Douglas K. Smith,1993,2020-08-13,Audible,Knowledge,Organization,,leadership,human-behavior,emergence,,
Proxima Dying,Brandon Q. Morris,2020,2020-08-04,Audible,Story,Hard Science,,future-scenarios,consciousness,evolution,,
Heute schon einen Prozess optimiert?,Gunter Dueck,2014,2020-08-04,Audible,Knowledge,Organization,,flow,systems-thinking,lean,business-value,
Value Stream Management for the Lean Office,Don Tapping & Tom Shuker,2003,2020-08-02,Kindle,Knowledge,Agile & Lean,Lean,lean,flow,business-value,,
Hyperion,Dan Simmons,1989,2020-07-27,Audible,Story,Space Opera,,civilization,consciousness,ai-impact,future-scenarios,
Rise of the Harlequin,Roberto Ricci,2019,2020-07-26,Kindle,Story,Thriller,,identity,power-dynamics,,,
Kingdom of Deceit,Roberto Ricci,2019,2020-07-26,Kindle,Story,Thriller,,identity,power-dynamics,,,
Of Masks And Chromes,Roberto Ricci,2019,2020-07-26,Kindle,Story,Thriller,,identity,power-dynamics,,,
Ich koch dich tot,Ellen Berg,2020,2020-07-26,Kindle,Story,Crime,,human-behavior,,,,
Rise of the Harlequin,Roberto Ricci,2019,2020-07-26,Audible,Story,Thriller,,identity,power-dynamics,,,
Kingdom of Deceit,Roberto Ricci,2019,2020-07-26,Audible,Story,Thriller,,identity,power-dynamics,,,
Of Masks and Chromes,Roberto Ricci,2019,2020-07-26,Audible,Story,Thriller,,identity,power-dynamics,,,
Ich koch dich tot,Ellen Berg,2020,2020-07-26,Audible,Story,Crime,,human-behavior,,,,
Pirates In The Navy,Tendayi Viki,2020,2020-07-11,Kindle,Knowledge,Product,,business-agility,strategy,product-thinking,innovation,
Inside the Tornado,Geoffrey A. Moore,1995,2020-07-11,Kindle,Knowledge,Strategy,,strategy,business-value,digital,future-scenarios,
Proxima Rising,Brandon Q. Morris,2019,2020-07-11,Audible,Story,Hard Science,,future-scenarios,evolution,consciousness,,
The Innovator's Dilemma,Clayton M. Christensen,1997,2020-07-11,Audible,Knowledge,Strategy,,strategy,business-value,digital,innovation,
Inside the Tornado,Geoffrey A. Moore,1995,2020-07-11,Audible,Knowledge,Strategy,,strategy,business-value,digital,future-scenarios,
Requirements Engineering für die agile Softwareentwicklung,Johannes Bergsmann,2014,2020-07-08,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,product-thinking,,
That's Not How We Do It Here!,John Kotter & Holger Rathgeber,2016,2020-06-30,Kindle,Story,Business Fiction,,leadership,business-agility,emergence,,
That's Not How We Do It Here!,John Kotter & Holger Rathgeber,2016,2020-06-30,Audible,Story,Business Fiction,,leadership,business-agility,emergence,,
Gamestorming,Dave Gray & Sunni Brown & James Macanufo,2010,2020-06-29,Kindle,Knowledge,Design,Design-Thinking,creativity,design-thinking,human-behavior,product-thinking,
Escape Velocity,Geoffrey A. Moore,2011,2020-06-28,Audible,Knowledge,Strategy,,strategy,business-value,digital,future-scenarios,
Kugelblitz,Cixin Liu,2004,2020-06-23,Audible,Story,Hard Science,,civilization,future-scenarios,ai-impact,,
The Unfair Advantage,Ash Ali & Hasan Kubba,2020,2020-06-11,Audible,Knowledge,Startup,,strategy,business-value,identity,human-behavior,
Can't Hurt Me,David Goggins,2018,2020-06-11,Audible,Knowledge,Health,,identity,human-behavior,health,,
